Ba_001_1_01	57	Звъннали са момини порти	Коледарска (на мома за женене)	Пее се на мома за женене	Звъннали са момини порти	Стоян Иванов Вандов
Ba_001_1_02	83	Тъка мома тънко дари	Коледарска (на мома)	Пее се на мома	Тъка мома тънко дари	
Ba_001_1_03	81	Седнала йе мома Каля	Коледарска (на мома)	Пее се на мома	Седнала йе мома Каля	
Ba_001_1_04	62	Мела й мома братом двори	Коледарска (на мома)	Пее се на мома	Мела е мома братом двори	
Ba_001_1_05	115	Мела й мома равно двори	Коледарска (на овчари юнаци)	Пее се на овчари юнаци	Мела е мома равно двори	
Ba_001_1_06	89	Изтекли са три пръчици	Коледарска (дето има три моми)	Пее се дето има 3 моми	Изтекли са три пръчици	
Ba_001_1_07	97	Рано е ранил свети Гьорги	Коледарска (дето има някой Гьорги)	Пее се дето има някой Гьорги	Рано е ранил свети Гьорги	
Ba_001_1_08	101	Тръгнал ми йе свети Петър	Коледарска (дето има Петър)	Пее се дето има Петър	Тръгнал ми е свети Петър	
Ba_001_1_09	100	Рано ранил свети Иван	Коледарска (дето има Иван ловец)	Пее се дето има Иван ловец	Рано е ранил свети Иван	
Ba_001_1_10	99	Заправил е Свети Иван	Коледарска (на Иван)	Пее се на Иван	Заправил е Свети Иван	
Ba_001_1_11	98	Натварил е свети Иван	Коледарска (на Иван)	Пее се на Иван	Натварил е свети Иван	
Ba_001_1_12	51	Разсърди са малко момче	Коледарска (на млад ерген)	Пее се на млад ерген	Разсърди са малко момче	
Ba_001_1_13	88	Огрели са три месеца	Коледарска (на трима ергени)	Пее се на трима ергени	Огрели са три месеца	
Ba_001_1_14	113	Заблеяла й вакла руда	Коледарска (на ерген овчар)	Пее не на ерген овчар	Заблеяла е вакла руда	
Ba_001_1_15	110	Помами си Гани Чобан	Коледарска (на овчар)	Пее се на овчар	На чардаци позлатени	
Ba_001_1_16	61	Изтекло йе идно дърво	Коледарска (на мома с много поклонници)	Пее се на мома с много поклонници	Изтекло е едно дърво	
Ba_001_1_17	90	Вързала йе божа майка	Коледарска (в къща с малко дете)	Пее се в къща с малко дете	Вързала е божа майка	
Ba_001_1_18	39	Посгоди са Богдан юнак	Коледарска (на годеник)	Пее се на годеник	Посгоди са Богдан юнак	
Ba_001_1_19	108	Богдан мама проговори	Коледарска (на ловец ерген)	Пее се на ловец ерген	Богдан мама проговори	
Ba_001_1_20	107	Седи Даньо на чардаци	Коледарска (на ловец ерген)	Пее се на ловец ерген	Даньо мама проговаря	
Ba_001_1_21	28	"Станинине, господине"	Коледарска (на стопанин с малко момче)	Пее се на стопанин с малко момче	"Станинине, господине"	
Ba_001_1_22	122	Изтекло йе едно дърво	Коледарска	Пее се на ловец	Изтекло йе едно дърво	
Ba_001_1_23	23	Бида бидили Свитата гора	Коледарска (в религиозно семейство)	Пее се в религиозно семейство	Беда бедили Светата гора	
Ba_001_1_24	46	Похвали са добрия юнак	Коледарска (на ерген)	Пее се на ерген	Похвали се добрия юнак	
Ba_001_1_25	66	Похвали са малка мома	Коледарска	Пее се на мома	Похвали се малка мома	
Ba_001_1_26	102	Отгоре слазят все войници	Коледарска (дето има Тодор)	Пее се дето има Тодор	Отгоре слазят все войници	
Ba_001_1_27	24	Разиграло съ й Черното море	Коледарска (в религиозно семейство)	Пее се в религиозно семейство	Разиграло са е Черното море	
Ba_001_1_28	109	Огряла йе Тира звизда	Коледарска (на овчар)	Пее се на овчар	Огреяла е Тира звезда	
Ba_001_1_29	84	Пропаднала й тъмна мъгла	Коледарска (на двама братя)	Пее се на двама братя	Пропаднала е тъмна мъгла	
Ba_001_1_30	56	Засвивал са й сив-бял сокол	Коледарска (на мома)	Пее се на мома	Засвивал се е сив-бял сокол	
Ba_001_1_31	68	Похваля са Видяна буля	Коледарска (на мома)	Пее се на мома	Похвали се Видена буля	
Ba_001_1_32	103	Завило са й сиво орле	Коледарска (на големец)	Пее се на големец	Завило са е сиво орле	
Ba_001_1_33	85	Забягнали двама братя	Коледарска (на двама братя овчари)	Пее се на двама братя овчари	"Дани ле,  забягнали са, брайни ле, двама братя"	
Ba_001_1_34	72	Похвали са Миряна майка	Коледарска (на мома)	Пее се на мома	Похвали са Миряна майка	
Ba_001_1_35	10	Събрали са събор момци	Коледарска (из пътя)	Пее се из пътя	Събрали са сабор момци	
Ba_001_1_36	8	Рано рани малка мома	Коледарска (из пътя)	Пее се из пътя	Рано рани малка мома	
Ba_001_1_37	2	"Зазори са, забяли са"	Коледарска (из пътя)	Пее се из пътя	"Зазори се, забели се"	
Ba_001_2_01	6	Пасла й мома братом коня	Коледарска (из пътя)	Пее се из пътя	Пасла е мома братом коня	
Ba_001_2_02	20	Замъчи са божа майка	Коледарска (при влизане в къщата)	При влизане в къщата	Замъчи се божа майка	
Ba_001_2_03	120	Чимче расло зад вратата	Коледарска (на излизане от къщата)	Пее се на излизане от къщи	Чимче расло зад вратата	
Ba_001_2_04	52	Сиди юнак накрай града	"Коледарска (на ерген, попрехвърлил годините си)"	"Пее се на ерген, попрехвърлил годините си"	Седи юнак накрай града	
Ba_001_2_05	38	Посгодил съ й Янко юнак	Коледарска (на годеник)	Пее се на годеник	Посгодил се е Янко юнак	
Ba_001_2_06	114	Какъв ми съ й тътън чуло	Коледарска (на юнак)	Пее се на юнак	Какъв ми са е тътън чуло	
Ba_001_2_07	106	Разболял съ й болян Добри	Коледарска (на ловец)	Пее се на ловец	Разболя се болян Добри	
Ba_001_2_08	60	Изтекли са два явора	Коледарска (на мома)	Пее се на мома	Изтекли са два явора	
Ba_001_2_09	554	"Снощи отидох, мамо"	по Лазаровден	(лазарска)	"Снощи отидох, мамо в село Драганино"	
Ba_001_2_10	947	"Погърмя, потрищя"	Хороводна	(лазарска)	"Погърмя, потрещя снощи на вечеря"	
Ba_001_2_11	937	Мария Стайко думаше	Хороводна	(лазарска)	Мария Стайко думаше	
Ba_001_2_12	***			(лазарска)	Иван Зафирки думаше	
Ba_001_2_13	957	Руска тъче жълто було	Хороводна	(лазарска)	Руска тъче жълто було да са були пред Ивана	
Ba_001_2_14	902	Добра си платно бельеши	Хороводна	(лазарска)	Добра си платно белеше на реката под върбата	
Ba_001_2_15	916	"Калино, Калинке, знайеш ли, помниш ли"	Хороводна	(лазарска)	"Калино, Калинке, знаеш ли, помниш ли"	
Ba_001_2_16	893	Герги си сбора събира	Хороводна	(хороводни)	Герги си сбора събира	
Ba_001_2_17	792	"Биглик са бире, мани мо"	Хороводна (на мегдана)	Пее се на мегдана	"Беглик се бере, мани мо"	
Ba_001_2_18	639	Къко съ и хуро	Хороводна (на засевки)	Пее се на засевки	Койчо Милки дума	
Ba_001_2_19	662	"Тръгнали ми са, тръгнали"	Хороводна (на засевки)	Пее се на засевки	"Тръгнали ми са, тръгнали две Ради до две етърви"	
Ba_001_2_20	654	"На кого й тъжно, кахърно"	Хороводна (на засевки)	Пее се на засевки	На кого е тъжно и кахърно	
Ba_001_2_21	666	Ябълка йе род родила	Хороводна (на засевки)	Пее се на засевки	"Ябълка е род родила, от род се е потрошила"	
Ba_001_2_22	626	"Биглик са бере, мани мо"	Хороводна  (на засевки)	Пее се на засевки	"Беглик са бере, мани мо"	
Ba_001_2_23	632	Гьорги са покалугери	Хороводна (на засевки)	Пее се на засевки	Гьорги са покалугери	
Ba_001_2_24	627	Брала йе Янка ягоди	Хороводна (на засевки)	Пее се на засевки	Брала е Яна ягоди	
Ba_001_2_25	815	Присмя съ Рада на Гергя	Хороводна (на мегдана)	На хоро на мегдана	Присмя се Рада на Гергя	
Ba_001_2_26	628	"В Сливяна, в горната махла"	Хороводна (на засевки)	Пее се на засевки	Стефан на Бяла думаше	
Ba_001_2_27	823	Тез Бакалов'ти дъщери	Хороводна (на мегдана)	На хоро на мегдана	Тез Бакалов'ти дъщери	
Ba_001_2_28	811	На бас са хванали	Хороводна (на мегдана)	На хоро на мегдана	На бас са хванали два вакли овчаря	
Ba_001_2_29	791	Бакал Димитра заклали	Хороводна (на мегдана)	Пее се на хоро на мегдана	Бакал Димитра заклали	
Ba_001_2_30	629	"Възпри, Иване, колата"	"Хороводна (хумористична, на засевки)"	Хумористична на засевки	"Възпри, Иване, колата"	
Ba_001_2_31	860	Йордан на Анка думаши	Хороводна (ръченица)	Ръченица	Йордан на Анка думаше	
Ba_001_2_32	889	Василчо Енки думаше	Хороводна	*	Василчо Енки думаше	
Ba_001_2_33	877	"Къщица имам, къщница нямам"	Хороводна (хумористична)	Хумористична	"Къщица имам, къщница нямам"	
Ba_001_2_34	816	Прочу съ Ляско Жилязко	Хороводна  (на мегдана)	На хорото на мегдана	Прочу са Ляско Желязко	
Ba_001_2_35	644	Любила й Рада попчиту	Хороводна (на засевки)	Пее се на засевки	Любила е Рада попчето	
Ba_001_2_36	804	Мама Диляни думаше	Хороводна (на мегдана)	Пее се на мегдана на хоро	Мама Диляни думаше	
Ba_001_2_37	930	Мама на Сава думаше	Хороводна	*	Мама на Сава думаше	
Ba_001_2_38	879	"Приставял са попчито, попчито"	Хороводна (хумористична)	Хумористична	Преставих се с попчето	
Ba_001_2_39	813	"Очи, черни очи"	Хороводна (на мегдана)	Пее се на мегдана на хоро	"Очи, черни очи шалави, палави"	
Ba_001_2_40	825	Чобан Желюв'ти синове	Хороводна (на мегдана)	Пее се на мегдана на хоро	Чобан Желюв'ти синове	
Ba_001_2_41	635	Залюля съ Дана	Хороводна (на засевки)	Пее се на засевки	Залюля са Дана горе на Търново	
Ba_001_2_42	637	Иванчо Тани думаше	Хороводна (на засевки)	Пее се на засевки	Иванчо Тани думаше	
Ba_001_2_43	859	Димитър Донки думаше	Хороводна (ръченица)	Ръченица	Димитър Донки думаше	
Ba_001_2_44	641	Кой ти купи кондурките	Хороводна (на засевки)	Пее се на засевки	Кой ти купи кондурките	
Ba_001_2_45	798	Йорги на Тяна думаше	Хороводна (на мегдана)	Пее се на хоро на мегдана	Йорги на Тяна думаше	
Ba_001_2_46	600	Събрали са все овчари	Хороводна (на Великденско хоро)	Великденско хоро	Събрали са все овчари	
Ba_001_2_47	794	Димитър Тони думаше	Хороводна (на мегдана)	Пее се на мегдана на хоро	Димитър Тони думаше	
Ba_001_2_48	812	"Откак бях расъл, порасъл"	Хороводна (на мегдана)	Пее се на мегдана на хоро	"Откак съм расъл, порасъл, откак съм стадо запасъл"	
Ba_001_2_49	795	Драгни леля си думаши	Хороводна (на мегдана)	На мегдана на хоро	Пусни ми лельо Марийка да дойде да ми миджува	
Ba_002_1_01	663	Тръгнала йе Яна	Хороводна (на засевки)	Пее се на засевки	Тръгнала е Яна през гора зелена	
Ba_002_1_02	646	Мама си Иванча	Хороводна (на засевки)	Пее се на засевки	Мама си Иванча нахрани и напои	
Ba_002_1_03	906	Жерави хвъркат високо	Хороводна	Пее се на мегдана на хоро	Жерави хвъркат високо	
Ba_002_1_04	943	Огън гори на планина	Хороводна	*	Огън гори на планина	
Ba_002_1_05	810	Мара Илию думаше	Хороводна (на мегдана)	Пее се на мегдана на хоро	Мара Илию думаше	
Ba_002_1_06	805	Мама й Жилязка сгодила	Хороводна (на мегдана)	Пее се на мегдана на хоро	Мама й Жилязка годила	
